S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres,Laps,Total Time,Pit Stops,Best Lap Number,Best Lap Time,Best Lap Kph,Status
67,2,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,1,1,26,02:01:32,3,10.0,03:29.5,234.2,1
280,5,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,57,05:08:01,5,54.0,03:39.9,223.1,1
678,11,16,Proton Competition,R. HARDWICK / Z. ROBICHON / J. HEYLEN,Porsche 911 RSR - 19,4,1,28,02:20:57,2,10.0,03:58.7,205.5,2
1214,20,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,250,20:04:10,26,204.0,03:37.8,225.2,1
586,10,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,4,1,115,10:03:10,10,11.0,03:51.4,211.9,1
655,11,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,128,11:02:20,15,11.0,03:37.8,225.2,1
1369,23,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,322,23:06:18,30,306.0,03:27.0,237.0,1
1139,19,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,246,19:02:26,26,209.0,03:37.0,226.1,1
886,15,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,2,2,190,15:01:10,19,53.0,03:39.3,223.6,1
1271,21,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,267,21:01:20,22,263.0,03:50.8,212.6,1
518,9,47,COOL Racing,DE GARUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,2,2,107,09:05:56,11,10.0,03:37.3,225.7,1
619,10,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,2,2,19,01:34:25,3,10.0,03:39.1,223.9,2
172,3,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,4,1,35,03:10:01,4,11.0,03:54.7,209.0,1
1453,24,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,4,1,312,00:00:49,25,242.0,03:51.5,211.9,1
547,9,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,1,1,103,07:58:45,10,12.0,03:30.0,233.6,2
634,11,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,2,2,133,11:03:28,13,10.0,03:38.1,225.0,1
716,12,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,128,12:04:25,11,10.0,03:52.2,211.2,1
1189,20,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,2,2,266,20:04:59,28,252.0,03:37.6,225.4,1
1194,20,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,2,2,264,20:01:07,26,249.0,03:36.4,226.7,1
1375,23,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,2,2,312,23:03:26,30,293.0,03:36.0,227.1,1
1335,22,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,280,22:00:49,29,204.0,03:37.8,225.2,1
1141,19,311,Action Express Racing,L. DERANI / A. SIMS / J. AITKEN,Cadillac V-Series.R,1,1,245,19:04:46,22,245.0,03:28.3,235.5,1
1473,24,77,Dempsey - Proton Racing,C. RIED / M. PEDERSEN / J. ANDLAUER,Porsche 911 RSR - 19,4,1,118,10:31:04,14,89.0,03:55.1,208.7,2
458,8,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,99,08:11:21,10,65.0,03:39.3,223.7,1
281,5,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,2,2,57,05:08:02,7,11.0,03:39.0,224.0,1
804,13,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
463,8,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,2,2,98,08:08:13,12,11.0,03:39.0,224.0,1
1,1,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,12,01:01:15,0,10.0,03:29.7,234.0,1
666,11,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,120,11:03:33,13,13.0,03:38.4,224.6,1
305,5,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,4,1,28,02:20:55,2,8.0,03:51.4,212.0,1
108,2,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,4,1,24,02:01:38,2,14.0,03:55.0,208.7,1
26,1,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,12,01:02:37,1,12.0,03:38.5,224.5,1
1485,24,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
895,15,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,3,2,184,15:03:09,17,120.0,03:50.9,212.4,1
1233,20,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,4,1,58,05:15:31,5,14.0,03:55.0,208.7,2
77,2,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,26,02:05:35,2,11.0,03:36.4,226.7,1
478,8,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,4,1,93,08:07:23,8,11.0,03:54.7,209.0,1
153,3,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,37,03:07:10,4,9.0,03:37.6,225.4,1
365,6,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,58,06:03:08,6,13.0,03:38.4,224.6,1
1042,17,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,113,09:35:29,11,65.0,03:39.3,223.7,2
798,13,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,1,1,84,06:44:44,7,12.0,03:29.9,233.7,2
928,15,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
1441,24,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,325,00:05:15,31,320.0,03:28.0,235.8,1
1468,24,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,183,14:31:45,18,149.0,03:39.8,223.2,2
1452,24,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,1,1,312,00:00:25,30,275.0,03:28.4,235.3,1
661,11,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,2,2,126,11:03:45,15,54.0,03:39.0,224.0,1
1425,23,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,18,01:27:23,2,13.0,03:44.2,218.8,2
42,1,88,Proton Competition,H. TINCKNELL / D. YOUNT / J. RIED,Porsche 911 RSR - 19,4,1,12,01:04:05,1,8.0,03:52.2,211.2,1
1396,23,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,4,1,297,23:06:00,22,295.0,03:52.0,211.4,1
797,13,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,87,07:50:02,10,9.0,03:37.6,225.4,2
1388,23,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,2,2,303,23:04:29,33,223.0,03:37.1,226.0,1
350,6,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,4,1,69,06:04:29,7,29.0,03:52.8,210.7,1
571,10,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,2,2,118,10:01:38,15,66.0,03:38.6,224.4,1
927,15,55,GMB Motorsport,G. BIRCH / M. SARENSEN/ J. MALLER,Aston Martin Vantage AMR,4,1,21,01:45:27,2,17.0,03:56.2,207.7,2
416,7,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,80,07:02:12,8,10.0,03:52.2,211.2,1
1343,22,911,Proton Competition,M. FASSBENDER / M. RUMP / R. LIETZ,Porsche 911 RSR - 19,4,1,246,19:37:05,20,16.0,03:53.1,210.5,2
702,12,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,2,2,132,12:02:10,16,10.0,03:37.4,225.6,1
272,5,47,COOL Racing,DE GARUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,2,2,58,05:08:21,6,10.0,03:37.3,225.7,1
508,9,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,1,1,108,09:05:05,12,56.0,03:29.0,234.7,1
573,10,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,118,10:02:48,13,11.0,03:36.4,226.7,1
986,16,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,4,1,33,02:46:33,3,8.0,03:52.5,211.0,2
1068,18,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,2,2,237,18:04:33,23,10.0,03:38.1,225.0,1
331,6,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,72,06:04:51,7,10.0,03:38.1,225.0,1
474,8,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,95,08:11:22,9,10.0,03:52.2,211.2,1
200,4,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,45,04:04:27,4,10.0,03:38.1,225.0,1
1044,17,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,4,1,89,07:58:43,8,8.0,03:53.1,210.5,2
41,1,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,4,1,12,01:04:05,0,8.0,03:52.5,211.0,1
838,14,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,4,1,172,14:05:46,13,11.0,03:51.4,211.9,1
333,6,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,72,06:04:56,7,13.0,03:43.1,219.9,1
1076,18,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,233,18:02:32,24,10.0,03:38.1,225.0,1
910,15,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,178,15:02:54,19,13.0,03:38.4,224.6,1
1447,24,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,1,1,320,00:00:46,28,307.0,03:28.3,235.5,1
1431,24,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,1,1,335,00:02:48,31,294.0,03:29.6,234.1,1
1298,21,55,GMB Motorsport,G. BIRCH / M. SARENSEN/ J. MALLER,Aston Martin Vantage AMR,4,1,21,01:45:27,2,17.0,03:56.2,207.7,2
563,10,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,1,1,122,10:01:03,12,12.0,03:28.3,235.5,1
1125,19,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,1,1,255,19:01:47,24,29.0,03:30.1,233.5,1
1118,19,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,262,19:01:44,23,245.0,03:29.3,234.3,1
479,8,77,Dempsey - Proton Racing,C. RIED / M. PEDERSEN / J. ANDLAUER,Porsche 911 RSR - 19,4,1,93,08:09:08,10,89.0,03:55.1,208.7,1
1024,17,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,4,1,214,17:06:11,16,213.0,03:53.8,209.8,1
139,3,35,Alpine Elf Team,A. NEGRAO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,2,2,38,03:09:01,4,10.0,03:38.1,225.0,1
913,15,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,4,1,163,13:41:59,14,149.0,03:54.7,209.0,1
743,12,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,2,2,19,01:34:25,3,10.0,03:39.1,223.9,2
831,14,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,174,14:01:22,19,11.0,03:37.8,225.2,1
